created_at,entry_id,field1,field2,field3
2021-07-11 03:49:01 UTC,349,37.3,101328.19,21.95
2021-07-11 03:51:01 UTC,350,37.27,101328.91,22.06
2021-07-11 03:53:01 UTC,351,37.19,101329.82,22.43
2021-07-11 03:55:01 UTC,352,37.34,101334.73,22.1
2021-07-11 03:57:01 UTC,353,37.08,101328.59,22.26
2021-07-11 03:59:01 UTC,354,37.17,101335.73,22.1
2021-07-11 04:01:01 UTC,355,37.48,101331.61,21.72
2021-07-11 04:03:01 UTC,356,37.55,101337.41,21.78
2021-07-11 04:05:01 UTC,357,37.27,101339.25,22.18
2021-07-11 04:07:01 UTC,358,37.31,101338.2,21.96
2021-07-11 04:09:01 UTC,359,37.61,101330.48,21.72
2021-07-11 04:11:01 UTC,360,37.71,101340.38,21.63
2021-07-11 04:13:01 UTC,361,37.4,101346.48,21.99
2021-07-11 04:15:01 UTC,362,37.24,101343.52,22.11
2021-07-11 04:17:01 UTC,363,37.57,101356.59,21.45
2021-07-11 04:19:01 UTC,364,37.6,101355.95,21.47
2021-07-11 04:21:01 UTC,365,37.27,101356.79,22.02
2021-07-11 04:23:01 UTC,366,37.53,101352.88,21.63
2021-07-11 04:25:01 UTC,367,37.17,101354.45,21.9
2021-07-11 04:27:01 UTC,368,37.2,101365.7,22.19
2021-07-11 04:29:01 UTC,369,37.4,101363.22,21.95
2021-07-11 04:31:01 UTC,370,37.21,101366.55,22.09
2021-07-11 04:33:01 UTC,371,37.63,101369.19,21.35
2021-07-11 04:35:01 UTC,372,37.46,101358.2,21.5
2021-07-11 04:37:01 UTC,373,37.35,101369.81,21.6
2021-07-11 04:39:01 UTC,374,37.28,101363.17,21.77
2021-07-11 04:41:01 UTC,375,37.37,101366.69,21.79
2021-07-11 04:43:01 UTC,376,37.59,101385.8,21.41
2021-07-11 04:45:01 UTC,377,37.05,101389.47,22.25
2021-07-11 04:47:01 UTC,378,37.02,101384.56,22.06
2021-07-11 04:49:01 UTC,379,36.82,101385.42,22.19
2021-07-11 04:51:01 UTC,380,36.99,101388.05,22.22
2021-07-11 04:53:01 UTC,381,36.97,101393.16,22.19
2021-07-11 04:55:01 UTC,382,37.3,101386.77,21.75
2021-07-11 04:57:01 UTC,383,37.46,101386.11,21.43
2021-07-11 04:59:01 UTC,384,37.46,101394.47,21.47
2021-07-11 05:01:01 UTC,385,37.59,101390.55,21.33
2021-07-11 05:03:01 UTC,386,37.54,101390.8,21.45
2021-07-11 05:05:01 UTC,387,37.42,101399.95,21.58
2021-07-11 05:07:01 UTC,388,37.62,101401.86,21.41
2021-07-11 05:09:01 UTC,389,37.58,101400.91,21.22
2021-07-11 05:11:01 UTC,390,37.58,101408.47,21.47
2021-07-11 05:13:01 UTC,391,37.47,101396.12,21.37
2021-07-11 05:15:01 UTC,392,37.47,101407.28,21.35
2021-07-11 05:17:01 UTC,393,37.37,101414.92,21.64
2021-07-11 05:19:01 UTC,394,37.34,101412.84,21.44
2021-07-11 05:21:01 UTC,395,37.41,101413.06,21.63
2021-07-11 05:23:01 UTC,396,37.52,101413.45,21.21
2021-07-11 05:25:01 UTC,397,37.1,101418.3,21.57
2021-07-11 05:27:01 UTC,398,37.41,101429,21.28
2021-07-11 05:29:01 UTC,399,37.35,101422.82,21.44
2021-07-11 05:31:01 UTC,400,37.23,101420.81,21.58
2021-07-11 05:33:01 UTC,401,37.3,101422.22,21.36
2021-07-11 05:35:01 UTC,402,37.26,101422.09,21.41
2021-07-11 05:37:01 UTC,403,37.52,101421.02,21.38
2021-07-11 05:39:01 UTC,404,37.27,101429.31,21.48
2021-07-11 05:41:01 UTC,405,37.32,101431.89,21.3
2021-07-11 05:43:01 UTC,406,37.35,101441.54,21.37
2021-07-11 05:45:02 UTC,408,37.39,101431.31,21.31
2021-07-11 05:47:01 UTC,409,37.31,101437.81,21.53
2021-07-11 05:49:01 UTC,410,37.42,101439.02,21.15
2021-07-11 05:51:01 UTC,411,37.17,101452.05,21.67
2021-07-11 05:53:01 UTC,412,37.24,101449.51,21.63
2021-07-11 05:55:01 UTC,413,37.29,101456.86,21.15
2021-07-11 05:57:01 UTC,414,37.29,101449.3,21.18
2021-07-11 05:59:01 UTC,415,37.53,101447.74,21.18
2021-07-11 06:01:01 UTC,416,37.41,101454.91,21.38
2021-07-11 06:03:01 UTC,417,37.48,101461.9,21.17
2021-07-11 06:05:01 UTC,418,37.3,101459.29,21.32
2021-07-11 06:07:01 UTC,419,37.35,101461.88,21.51
2021-07-11 06:09:01 UTC,420,37.31,101469.3,21.06
2021-07-11 06:11:01 UTC,421,37.1,101465.7,21.69
2021-07-11 06:13:01 UTC,422,37.4,101477.59,21.21
2021-07-11 06:15:01 UTC,423,37.29,101476.39,21.41
2021-07-11 06:17:01 UTC,424,37.35,101477.8,21.31
2021-07-11 06:19:01 UTC,425,37.31,101486.03,21.45
2021-07-11 06:21:01 UTC,426,37.43,101486.08,21.15
2021-07-11 06:23:01 UTC,427,37.55,101490.07,21.02
2021-07-11 06:25:01 UTC,428,37.32,101490.47,21.18
2021-07-11 06:27:01 UTC,429,37.24,101483.81,21.32
2021-07-11 06:29:01 UTC,430,37.27,101495.44,21.39
2021-07-11 06:31:01 UTC,431,37.34,101490.11,21.34
2021-07-11 06:33:01 UTC,432,37.3,101489.16,21.27
2021-07-11 06:35:01 UTC,433,37.42,101500.39,21.08
2021-07-11 06:37:01 UTC,434,37.23,101490.53,21.34
2021-07-11 06:39:01 UTC,435,37.29,101496.72,21.45
2021-07-11 06:41:01 UTC,436,37.44,101500.86,20.93
2021-07-11 06:43:01 UTC,437,37.4,101500.72,21.16
2021-07-11 06:45:01 UTC,438,37.16,101509.78,21.38
2021-07-11 06:47:01 UTC,439,37.1,101513.1,21.61
2021-07-11 06:49:01 UTC,440,36.75,101510.56,22.04
2021-07-11 06:51:01 UTC,441,37.18,101512.23,21.59
2021-07-11 06:53:01 UTC,442,37.03,101510.84,21.77
2021-07-11 06:55:01 UTC,443,36.63,101517.64,22.16
2021-07-11 06:57:01 UTC,444,36.79,101519.88,21.88
2021-07-11 06:59:01 UTC,445,36.95,101517.3,21.67
2021-07-11 07:01:01 UTC,446,36.89,101518.66,21.71
2021-07-11 07:03:01 UTC,447,36.89,101525.05,21.91
2021-07-11 07:05:01 UTC,448,36.81,101520.35,22.06
2021-07-11 07:07:01 UTC,449,36.9,101523.91,21.95
